onset	trial_type	duration
0.028	Lose_Instruction	5000
5.639	LoseGames_Ant	600
9.25	LoseGames_FB_Lose	1000
10.25	LoseGames_ITI	1100
14.035	LoseGames_Ant	600
17.634	LoseGames_FB_Win	1000
18.647	LoseGames_ITI	1100
22.432	LoseGames_Ant	600
26.03	LoseGames_FB_Lose	1000
27.043	LoseGames_ITI	1100
30.828	LoseGames_Ant	600
34.44	LoseGames_FB_Lose	1000
35.453	LoseGames_ITI	1100
41.331	LoseGames_Ant	600
44.929	LoseGames_FB_Lose	1000
45.929	LoseGames_ITI	1100
51.833	LoseGames_Ant	600
55.432	LoseGames_FB_Win	1000
56.445	LoseGames_ITI	1100
62.336	LoseGames_Ant	600
65.934	LoseGames_FB_Win	1000
66.947	LoseGames_ITI	1100
70.732	LoseGames_Ant	600
74.331	LoseGames_FB_Lose	1000
75.344	LoseGames_ITI	1100
77.036	LoseGames_Ant	600
80.635	LoseGames_FB_Win	1000
81.634	LoseGames_ITI	1100
83.34	LoseGames_Ant	600
86.939	LoseGames_FB_Win	1000
87.939	LoseGames_ITI	1100
93.829	LoseGames_Ant	600
97.428	LoseGames_FB_Win	1000
98.441	LoseGames_ITI	1100
104.332	LoseGames_Ant	600
107.93	LoseGames_FB_Lose	1000
108.93	LoseGames_ITI	1100
112.728	LoseGames_Ant	600
116.34	LoseGames_FB_Win	1000
117.353	LoseGames_ITI	1100
119.033	LoseGames_Ant	600
122.631	LoseGames_FB_Lose	1000
123.644	LoseGames_ITI	1100
127.429	LoseGames_Ant	600
131.028	LoseGames_FB_Lose	1000
132.041	LoseGames_ITI	1100
133.134	Prize_Instruction	5000
138.745	WinGames_Ant	600
142.343	WinGames_FB_Lose	1000
143.356	WinGames_ITI	1100
145.035	WinGames_Ant	600
148.634	WinGames_FB_Win	1000
149.647	WinGames_ITI	1100
153.445	WinGames_Ant	600
157.044	WinGames_FB_Lose	1000
158.057	WinGames_ITI	1100
163.934	WinGames_Ant	600
167.546	WinGames_FB_Lose	1000
168.546	WinGames_ITI	1100
180.741	WinGames_Ant	600
184.339	WinGames_FB_Lose	1000
185.352	WinGames_ITI	1100
191.243	WinGames_Ant	600
194.842	WinGames_FB_Win	1000
195.841	WinGames_ITI	1100
199.64	WinGames_Ant	600
203.238	WinGames_FB_Win	1000
204.251	WinGames_ITI	1100
205.944	WinGames_Ant	600
209.543	WinGames_FB_Lose	1000
210.555	WinGames_ITI	1100
214.341	WinGames_Ant	600
217.939	WinGames_FB_Win	1000
218.939	WinGames_ITI	1100
222.737	WinGames_Ant	600
226.336	WinGames_FB_Win	1000
227.349	WinGames_ITI	1100
229.041	WinGames_Ant	600
232.64	WinGames_FB_Win	1000
233.653	WinGames_ITI	1100
235.345	WinGames_Ant	600
238.944	WinGames_FB_Lose	1000
239.957	WinGames_ITI	1100
241.636	WinGames_Ant	600
245.235	WinGames_FB_Win	1000
246.234	WinGames_ITI	1100
252.139	WinGames_Ant	600
255.737	WinGames_FB_Lose	1000
256.737	WinGames_ITI	1100
262.641	WinGames_Ant	600
266.24	WinGames_FB_Lose	1000
267.252	WinGames_ITI	1100
