onset	trial_type	duration
0.021	Prize_Instruction	5000
5.632	WinGames_Ant	600
9.244	WinGames_FB_Lose	1000
10.244	WinGames_ITI	1100
11.923	WinGames_Ant	600
15.522	WinGames_FB_Win	1000
16.535	WinGames_ITI	1100
20.333	WinGames_Ant	600
23.932	WinGames_FB_Lose	1000
24.945	WinGames_ITI	1100
30.822	WinGames_Ant	600
34.421	WinGames_FB_Lose	1000
35.447	WinGames_ITI	1100
47.629	WinGames_Ant	600
51.227	WinGames_FB_Lose	1000
52.227	WinGames_ITI	1100
58.131	WinGames_Ant	600
61.73	WinGames_FB_Win	1000
62.729	WinGames_ITI	1100
66.528	WinGames_Ant	600
70.126	WinGames_FB_Win	1000
71.126	WinGames_ITI	1100
72.832	WinGames_Ant	600
76.43	WinGames_FB_Lose	1000
77.443	WinGames_ITI	1100
81.229	WinGames_Ant	600
84.827	WinGames_FB_Win	1000
85.84	WinGames_ITI	1100
89.625	WinGames_Ant	600
93.224	WinGames_FB_Win	1000
94.237	WinGames_ITI	1100
95.929	WinGames_Ant	600
99.528	WinGames_FB_Win	1000
100.541	WinGames_ITI	1100
102.233	WinGames_Ant	600
105.832	WinGames_FB_Lose	1000
106.831	WinGames_ITI	1100
108.524	WinGames_Ant	600
112.123	WinGames_FB_Win	1000
113.122	WinGames_ITI	1100
119.027	WinGames_Ant	600
122.625	WinGames_FB_Lose	1000
123.638	WinGames_ITI	1100
129.529	WinGames_Ant	600
133.128	WinGames_FB_Lose	1000
134.127	WinGames_ITI	1100
139.432	Lose_Instruction	5000
145.043	LoseGames_Ant	600
148.641	LoseGames_FB_Lose	1000
149.654	LoseGames_ITI	1100
153.439	LoseGames_Ant	600
157.051	LoseGames_FB_Win	1000
158.051	LoseGames_ITI	1100
161.836	LoseGames_Ant	600
165.435	LoseGames_FB_Lose	1000
166.434	LoseGames_ITI	1100
170.233	LoseGames_Ant	600
173.844	LoseGames_FB_Lose	1000
174.844	LoseGames_ITI	1100
180.735	LoseGames_Ant	600
184.334	LoseGames_FB_Lose	1000
185.347	LoseGames_ITI	1100
191.237	LoseGames_Ant	600
194.836	LoseGames_FB_Win	1000
195.849	LoseGames_ITI	1100
201.74	LoseGames_Ant	600
205.338	LoseGames_FB_Win	1000
206.351	LoseGames_ITI	1100
210.137	LoseGames_Ant	600
213.735	LoseGames_FB_Lose	1000
214.748	LoseGames_ITI	1100
216.441	LoseGames_Ant	600
220.039	LoseGames_FB_Win	1000
221.039	LoseGames_ITI	1100
222.745	LoseGames_Ant	600
226.343	LoseGames_FB_Win	1000
227.356	LoseGames_ITI	1100
233.234	LoseGames_Ant	600
236.832	LoseGames_FB_Win	1000
237.845	LoseGames_ITI	1100
243.736	LoseGames_Ant	600
247.335	LoseGames_FB_Lose	1000
248.348	LoseGames_ITI	1100
252.133	LoseGames_Ant	600
255.758	LoseGames_FB_Win	1000
256.758	LoseGames_ITI	1100
258.437	LoseGames_Ant	600
262.036	LoseGames_FB_Lose	1000
263.049	LoseGames_ITI	1100
266.834	LoseGames_Ant	600
270.432	LoseGames_FB_Lose	1000
271.445	LoseGames_ITI	1100
