\\tu\cla\Jarcho\STUDIES\Social_Doors\College_Social_Doors\Data\CompletedData\004\social\SPADE_Social_Doors_052318-3846-1.edat2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,AgeRange,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,GoodBye.ActionDelay,GoodBye.ActionTime,GoodBye.CustomOffsetTime,GoodBye.CustomOnsetTime,GoodBye.Duration,GoodBye.DurationError,GoodBye.FinishTime,GoodBye.OffsetDelay,GoodBye.OffsetTime,GoodBye.OnsetDelay,GoodBye.OnsetTime,GoodBye.OnsetToOnsetTime,GoodBye.PreRelease,GoodBye.StartTime,Group,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Version,Block,PleaseRest.ActionDelay,PleaseRest.ActionTime,PleaseRest.CustomOffsetTime,PleaseRest.CustomOnsetTime,PleaseRest.Duration,PleaseRest.DurationError,PleaseRest.FinishTime,PleaseRest.OffsetDelay,PleaseRest.OffsetTime,PleaseRest.OnsetDelay,PleaseRest.OnsetTime,PleaseRest.OnsetToOnsetTime,PleaseRest.PendingInputMasks,PleaseRest.PreRelease,PleaseRest.StartTime,PleaseRest.TargetOffsetTime,PleaseRest.TargetOnsetTime,PleaseRest.TimingMode,Procedure[Block],RunListB,RunListB.Cycle,RunListB.Sample,Running[Block],ScannerTriggerB.OffsetTime,ScannerTriggerB.RESP,ScannerTriggerB.RTTime,ScannerTriggerB.StartTime,Trial,BlockNumber,DislikeInstructions.ActionDelay,DislikeInstructions.ActionTime,DislikeInstructions.CustomOffsetTime,DislikeInstructions.CustomOnsetTime,DislikeInstructions.Duration,DislikeInstructions.DurationError,DislikeInstructions.FinishTime,DislikeInstructions.OffsetDelay,DislikeInstructions.OffsetTime,DislikeInstructions.OnsetDelay,DislikeInstructions.OnsetTime,DislikeInstructions.OnsetToOnsetTime,DislikeInstructions.PendingInputMasks,DislikeInstructions.PreRelease,DislikeInstructions.RESP,DislikeInstructions.StartTime,Faces.ACC,Faces.CRESP,Faces.DurationError,Faces.OnsetDelay,Faces.OnsetTime,Faces.OnsetToOnsetTime,Faces.RESP,Faces.RT,Faces.RTTime,Fixation1.DurationError,Fixation1.OffsetTime,Fixation1.OnsetDelay,Fixation1.OnsetTime,Fixation1.OnsetToOnsetTime,Fixation2.DurationError,Fixation2.OffsetTime,Fixation2.OnsetDelay,Fixation2.OnsetTime,Fixation2.OnsetToOnsetTime,FollowWinLoss,Image,ITI,ITI.DurationError,ITI.OffsetTime,ITI.OnsetDelay,ITI.OnsetTime,ITI.OnsetToOnsetTime,LeftFace,LikeInstructions.ActionDelay,LikeInstructions.ActionTime,LikeInstructions.CustomOffsetTime,LikeInstructions.CustomOnsetTime,LikeInstructions.Duration,LikeInstructions.DurationError,LikeInstructions.FinishTime,LikeInstructions.OffsetTime,LikeInstructions.OnsetDelay,LikeInstructions.OnsetTime,LikeInstructions.OnsetToOnsetTime,LikeInstructions.RESP,LikeInstructions.RT,Outcome.ACC,Outcome.ActionDelay,Outcome.ActionTime,Outcome.CRESP,Outcome.CustomOffsetTime,Outcome.CustomOnsetTime,Outcome.Duration,Outcome.DurationError,Outcome.FinishTime,Outcome.OffsetDelay,Outcome.OffsetTime,Outcome.OnsetDelay,Outcome.OnsetTime,Outcome.OnsetToOnsetTime,Outcome.PendingInputMasks,Outcome.PreRelease,Outcome.RESP,Outcome.RT,Outcome.RTTime,Outcome.StartTime,Outcome.Tag,Outcome.TargetOffsetTime,Outcome.TargetOnsetTime,Outcome.TimingMode,Procedure[Trial],RightFace,RunBlockB1,RunBlockB1.Cycle,RunBlockB1.Sample,RunBlockB2,RunBlockB2.Cycle,RunBlockB2.Sample,RunLoseWin,Running[Trial],RunWinLose,TrialListDislikeB,TrialListLikeB,TrialType
SPADE_Social_Doors_052318,3846,1,18+,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-01T20:22:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3410117</Frequency><Timestamp dt:dt=""r8"">80797112375</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-01T20:22:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SPADE_Social_Doors_052318-3846-1,75.03,1.0.0.297,0,717725,0,0,5000,0,722725,0,722725,12,717725,0,0,712717,1,-806614696,Professional,2.0.10.356,2.0.10.356,4/1/19,4/1/19 20:22,16:22:00,2.0.10.252,VersionB,1,0,418419,0,0,5000,0,418419,0,418419,7,418419,0,0,-1,418313,418419,418412,0,RunWinLoseB,2,1,1,RunListB,145871,t,145871,132157,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,145902,0,0,5000,0,145902,145902,31,145902,0,t,2069,,,,,,,,,,,,,,,,,,,,,,,,,LikeInstructionProc,,,,,1,1,1,,RunBlockB2,RunWinLose,,,
SPADE_Social_Doors_052318,3846,1,18+,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-01T20:22:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3410117</Frequency><Timestamp dt:dt=""r8"">80797112375</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-01T20:22:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SPADE_Social_Doors_052318-3846-1,75.03,1.0.0.297,0,717725,0,0,5000,0,722725,0,722725,12,717725,0,0,712717,1,-806614696,Professional,2.0.10.356,2.0.10.356,4/1/19,4/1/19 20:22,16:22:00,2.0.10.252,VersionB,1,0,418419,0,0,5000,0,418419,0,418419,7,418419,0,0,-1,418313,418419,418412,0,RunWinLoseB,2,1,1,RunListB,145871,t,145871,132157,2,1,,,,,,,,,,,,,,,,,0,,-11,11,151513,2999,b,1282,152795,-11,151402,11,150913,600,-10,155002,10,154512,613,blockstart,Line.bmp,1100,-23,157102,23,156125,0,M18.jpg,,,,,,,,,,,,,,0,0,155125,,0,0,1000,-23,156002,0,156002,23,155125,1000,0,100,,0,0,155002,,156002,155102,1,LikeProc,M120.jpg,,,,2,1,2,,RunBlockB2,RunWinLose,,1,loss
SPADE_Social_Doors_052318,3846,1,18+,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-01T20:22:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3410117</Frequency><Timestamp dt:dt=""r8"">80797112375</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-01T20:22:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SPADE_Social_Doors_052318-3846-1,75.03,1.0.0.297,0,717725,0,0,5000,0,722725,0,722725,12,717725,0,0,712717,1,-806614696,Professional,2.0.10.356,2.0.10.356,4/1/19,4/1/19 20:22,16:22:00,2.0.10.252,VersionB,1,0,418419,0,0,5000,0,418419,0,418419,7,418419,0,0,-1,418313,418419,418412,0,RunWinLoseB,2,1,1,RunListB,145871,t,145871,132157,3,1,,,,,,,,,,,,,,,,,0,,-2,2,157804,2999,g,1319,159123,-2,157702,2,157204,600,-1,161302,1,160803,599,winfollowloss,UpArrow.bmp,3200,-13,165502,13,162415,0,M12.jpg,,,,,,,,,,,,,,0,0,161402,,0,0,1000,0,162302,0,162302,0,161402,1013,0,100,,0,0,161302,,162302,161402,1,LikeProc,M114.jpg,,,,3,1,3,,RunBlockB2,RunWinLose,,2,win
SPADE_Social_Doors_052318,3846,1,18+,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-01T20:22:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3410117</Frequency><Timestamp dt:dt=""r8"">80797112375</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-01T20:22:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SPADE_Social_Doors_052318-3846-1,75.03,1.0.0.297,0,717725,0,0,5000,0,722725,0,722725,12,717725,0,0,712717,1,-806614696,Professional,2.0.10.356,2.0.10.356,4/1/19,4/1/19 20:22,16:22:00,2.0.10.252,VersionB,1,0,418419,0,0,5000,0,418419,0,418419,7,418419,0,0,-1,418313,418419,418412,0,RunWinLoseB,2,1,1,RunListB,145871,t,145871,132157,4,1,,,,,,,,,,,,,,,,,0,,-12,12,166214,2999,b,1460,167674,-12,166102,12,165614,600,-11,169702,11,169213,599,lossfollowwin,Line.bmp,5300,-23,176002,23,170825,0,M98.jpg,,,,,,,,,,,,,,0,0,169812,,0,0,1000,-10,170702,0,170702,10,169812,1013,0,100,,0,0,169702,,170702,169802,1,LikeProc,M04.jpg,,,,4,1,4,,RunBlockB2,RunWinLose,,3,loss
SPADE_Social_Doors_052318,3846,1,18+,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-01T20:22:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3410117</Frequency><Timestamp dt:dt=""r8"">80797112375</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-01T20:22:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SPADE_Social_Doors_052318-3846-1,75.03,1.0.0.297,0,717725,0,0,5000,0,722725,0,722725,12,717725,0,0,712717,1,-806614696,Professional,2.0.10.356,2.0.10.356,4/1/19,4/1/19 20:22,16:22:00,2.0.10.252,VersionB,1,0,418419,0,0,5000,0,418419,0,418419,7,418419,0,0,-1,418313,418419,418412,0,RunWinLoseB,2,1,1,RunListB,145871,t,145871,132157,5,1,,,,,,,,,,,,,,,,,0,,-1,1,176703,2999,g,1718,178421,-1,176602,1,176103,600,0,180202,0,179702,613,lossfollowloss,Line.bmp,11600,-26,192802,26,181328,0,F74.jpg,,,,,,,,,,,,,,0,0,180315,,0,0,1000,-13,181202,0,181202,13,180315,1013,0,100,,0,0,180202,,181202,180302,1,LikeProc,F78.jpg,,,,5,1,5,,RunBlockB2,RunWinLose,,4,loss
SPADE_Social_Doors_052318,3846,1,18+,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-01T20:22:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3410117</Frequency><Timestamp dt:dt=""r8"">80797112375</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-01T20:22:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SPADE_Social_Doors_052318-3846-1,75.03,1.0.0.297,0,717725,0,0,5000,0,722725,0,722725,12,717725,0,0,712717,1,-806614696,Professional,2.0.10.356,2.0.10.356,4/1/19,4/1/19 20:22,16:22:00,2.0.10.252,VersionB,1,0,418419,0,0,5000,0,418419,0,418419,7,418419,0,0,-1,418313,418419,418412,0,RunWinLoseB,2,1,1,RunListB,145871,t,145871,132157,6,1,,,,,,,,,,,,,,,,,0,,-7,7,193509,2999,b,1212,194721,-8,193402,8,192910,599,-6,197002,6,196508,600,lossfollowloss,Line.bmp,5300,-19,203302,19,198121,0,F110.jpg,,,,,,,,,,,,,,0,0,197108,,0,0,1000,-6,198002,0,198002,6,197108,1013,0,100,,0,0,197002,,198002,197102,1,LikeProc,F88.jpg,,,,6,1,6,,RunBlockB2,RunWinLose,,5,loss
SPADE_Social_Doors_052318,3846,1,18+,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-01T20:22:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3410117</Frequency><Timestamp dt:dt=""r8"">80797112375</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-01T20:22:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SPADE_Social_Doors_052318-3846-1,75.03,1.0.0.297,0,717725,0,0,5000,0,722725,0,722725,12,717725,0,0,712717,1,-806614696,Professional,2.0.10.356,2.0.10.356,4/1/19,4/1/19 20:22,16:22:00,2.0.10.252,VersionB,1,0,418419,0,0,5000,0,418419,0,418419,7,418419,0,0,-1,418313,418419,418412,0,RunWinLoseB,2,1,1,RunListB,145871,t,145871,132157,7,1,,,,,,,,,,,,,,,,,0,,-10,10,204012,2999,g,2271,206283,-10,203902,10,203412,600,-9,207502,9,207011,599,winfollowloss,UpArrow.bmp,3200,-21,211702,21,208623,0,M32.jpg,,,,,,,,,,,,,,0,0,207610,,0,0,1000,-8,208502,0,208502,8,207610,1013,0,100,,0,0,207502,,208502,207602,1,LikeProc,M96.jpg,,,,7,1,7,,RunBlockB2,RunWinLose,,6,win
SPADE_Social_Doors_052318,3846,1,18+,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-01T20:22:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3410117</Frequency><Timestamp dt:dt=""r8"">80797112375</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-01T20:22:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SPADE_Social_Doors_052318-3846-1,75.03,1.0.0.297,0,717725,0,0,5000,0,722725,0,722725,12,717725,0,0,712717,1,-806614696,Professional,2.0.10.356,2.0.10.356,4/1/19,4/1/19 20:22,16:22:00,2.0.10.252,VersionB,1,0,418419,0,0,5000,0,418419,0,418419,7,418419,0,0,-1,418313,418419,418412,0,RunWinLoseB,2,1,1,RunListB,145871,t,145871,132157,8,1,,,,,,,,,,,,,,,,,0,,-7,7,212409,2998,g,1793,214202,-7,212302,7,211809,600,-5,215902,5,215407,600,winfollowwin,UpArrow.bmp,1100,-5,218002,5,217007,0,M106.jpg,,,,,,,,,,,,,,0,0,216007,,0,0,1000,-5,216902,0,216902,5,216007,1000,0,100,,0,0,215902,,216902,216002,1,LikeProc,M54.jpg,,,,8,1,8,,RunBlockB2,RunWinLose,,7,win
SPADE_Social_Doors_052318,3846,1,18+,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-01T20:22:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3410117</Frequency><Timestamp dt:dt=""r8"">80797112375</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-01T20:22:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SPADE_Social_Doors_052318-3846-1,75.03,1.0.0.297,0,717725,0,0,5000,0,722725,0,722725,12,717725,0,0,712717,1,-806614696,Professional,2.0.10.356,2.0.10.356,4/1/19,4/1/19 20:22,16:22:00,2.0.10.252,VersionB,1,0,418419,0,0,5000,0,418419,0,418419,7,418419,0,0,-1,418313,418419,418412,0,RunWinLoseB,2,1,1,RunListB,145871,t,145871,132157,9,1,,,,,,,,,,,,,,,,,0,,-11,11,218713,2998,g,2004,220717,-11,218602,11,218113,600,-9,222202,9,221711,600,lossfollowwin,Line.bmp,3200,-22,226402,22,223324,0,F04.jpg,,,,,,,,,,,,,,0,0,222311,,0,0,1000,-9,223202,0,223202,9,222311,1013,0,100,,0,0,222202,,223202,222302,1,LikeProc,F64.jpg,,,,9,1,9,,RunBlockB2,RunWinLose,,8,loss
SPADE_Social_Doors_052318,3846,1,18+,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-01T20:22:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3410117</Frequency><Timestamp dt:dt=""r8"">80797112375</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-01T20:22:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SPADE_Social_Doors_052318-3846-1,75.03,1.0.0.297,0,717725,0,0,5000,0,722725,0,722725,12,717725,0,0,712717,1,-806614696,Professional,2.0.10.356,2.0.10.356,4/1/19,4/1/19 20:22,16:22:00,2.0.10.252,VersionB,1,0,418419,0,0,5000,0,418419,0,418419,7,418419,0,0,-1,418313,418419,418412,0,RunWinLoseB,2,1,1,RunListB,145871,t,145871,132157,10,1,,,,,,,,,,,,,,,,,0,,-7,7,227109,2999,b,1552,228661,-8,227002,8,226510,599,-6,230602,6,230108,600,winfollowloss,UpArrow.bmp,3200,-19,234802,19,231721,0,F44.jpg,,,,,,,,,,,,,,0,0,230708,,0,0,1000,-6,231602,0,231602,6,230708,1013,0,100,,0,0,230602,,231602,230702,1,LikeProc,F54.jpg,,,,10,1,10,,RunBlockB2,RunWinLose,,9,win
