\\tu\cla\Jarcho\STUDIES\Social_Doors\College_Social_Doors\Data\CompletedData\003\social\SPADE_Social_Doors_052318-3849-1.edat2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,AgeRange,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,GoodBye.ActionDelay,GoodBye.ActionTime,GoodBye.CustomOffsetTime,GoodBye.CustomOnsetTime,GoodBye.Duration,GoodBye.DurationError,GoodBye.FinishTime,GoodBye.OffsetDelay,GoodBye.OffsetTime,GoodBye.OnsetDelay,GoodBye.OnsetTime,GoodBye.OnsetToOnsetTime,GoodBye.PreRelease,GoodBye.StartTime,Group,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Version,Block,PleaseRest.ActionDelay,PleaseRest.ActionTime,PleaseRest.CustomOffsetTime,PleaseRest.CustomOnsetTime,PleaseRest.Duration,PleaseRest.DurationError,PleaseRest.FinishTime,PleaseRest.OffsetDelay,PleaseRest.OffsetTime,PleaseRest.OnsetDelay,PleaseRest.OnsetTime,PleaseRest.OnsetToOnsetTime,PleaseRest.PendingInputMasks,PleaseRest.PreRelease,PleaseRest.StartTime,PleaseRest.TargetOffsetTime,PleaseRest.TargetOnsetTime,PleaseRest.TimingMode,Procedure[Block],RunListA,RunListA.Cycle,RunListA.Sample,Running[Block],ScannerTriggerA.OffsetTime,ScannerTriggerA.RESP,ScannerTriggerA.RTTime,ScannerTriggerA.StartTime,Trial,BlockNumber,DislikeInstructions.ActionDelay,DislikeInstructions.ActionTime,DislikeInstructions.CustomOffsetTime,DislikeInstructions.CustomOnsetTime,DislikeInstructions.Duration,DislikeInstructions.DurationError,DislikeInstructions.FinishTime,DislikeInstructions.OffsetDelay,DislikeInstructions.OffsetTime,DislikeInstructions.OnsetDelay,DislikeInstructions.OnsetTime,DislikeInstructions.OnsetToOnsetTime,DislikeInstructions.PendingInputMasks,DislikeInstructions.PreRelease,DislikeInstructions.RESP,DislikeInstructions.StartTime,Faces.ACC,Faces.CRESP,Faces.DurationError,Faces.OnsetDelay,Faces.OnsetTime,Faces.OnsetToOnsetTime,Faces.RESP,Faces.RT,Faces.RTTime,Fixation1.DurationError,Fixation1.OffsetTime,Fixation1.OnsetDelay,Fixation1.OnsetTime,Fixation1.OnsetToOnsetTime,Fixation2.DurationError,Fixation2.OffsetTime,Fixation2.OnsetDelay,Fixation2.OnsetTime,Fixation2.OnsetToOnsetTime,FollowWinLoss,Image,ITI,ITI.DurationError,ITI.OffsetTime,ITI.OnsetDelay,ITI.OnsetTime,ITI.OnsetToOnsetTime,LeftFace,LikeInstructions.ActionDelay,LikeInstructions.ActionTime,LikeInstructions.CustomOffsetTime,LikeInstructions.CustomOnsetTime,LikeInstructions.Duration,LikeInstructions.DurationError,LikeInstructions.FinishTime,LikeInstructions.OffsetTime,LikeInstructions.OnsetDelay,LikeInstructions.OnsetTime,LikeInstructions.OnsetToOnsetTime,LikeInstructions.RESP,LikeInstructions.RT,Outcome.ACC,Outcome.ActionDelay,Outcome.ActionTime,Outcome.CRESP,Outcome.CustomOffsetTime,Outcome.CustomOnsetTime,Outcome.Duration,Outcome.DurationError,Outcome.FinishTime,Outcome.OffsetDelay,Outcome.OffsetTime,Outcome.OnsetDelay,Outcome.OnsetTime,Outcome.OnsetToOnsetTime,Outcome.PendingInputMasks,Outcome.PreRelease,Outcome.RESP,Outcome.RT,Outcome.RTTime,Outcome.StartTime,Outcome.Tag,Outcome.TargetOffsetTime,Outcome.TargetOnsetTime,Outcome.TimingMode,Procedure[Trial],RightFace,RunBlockA1,RunBlockA1.Cycle,RunBlockA1.Sample,RunBlockA2,RunBlockA2.Cycle,RunBlockA2.Sample,RunLoseWin,Running[Trial],RunWinLose,TrialListDislikeA,TrialListLikeA,TrialType
SPADE_Social_Doors_052318,3849,1,18+,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-01T23:14:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3410117</Frequency><Timestamp dt:dt=""r8"">116133834006</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-01T23:14:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SPADE_Social_Doors_052318-3849-1,75.033,1.0.0.297,0,708379,0,0,5000,0,713379,0,713379,12,708379,0,0,703369,1,170398326,Professional,2.0.10.356,2.0.10.356,4/1/19,,19:14:42,2.0.10.252,VersionA,1,0,409113,0,0,5000,0,409113,0,409113,11,409113,0,0,-1,409003,409113,409102,0,RunLoseWinA,1,1,1,RunListA,136572,t,136572,126016,1,1,0,136596,0,0,5000,0,136596,0,136596,24,136596,0,0,-1,t,136572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DislikeInstructionProc,,1,1,1,,,,RunLoseWin,RunBlockA1,,,,
SPADE_Social_Doors_052318,3849,1,18+,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-01T23:14:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3410117</Frequency><Timestamp dt:dt=""r8"">116133834006</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-01T23:14:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SPADE_Social_Doors_052318-3849-1,75.033,1.0.0.297,0,708379,0,0,5000,0,713379,0,713379,12,708379,0,0,703369,1,170398326,Professional,2.0.10.356,2.0.10.356,4/1/19,,19:14:42,2.0.10.252,VersionA,1,0,409113,0,0,5000,0,409113,0,409113,11,409113,0,0,-1,409003,409113,409102,0,RunLoseWinA,1,1,1,RunListA,136572,t,136572,126016,2,1,,,,,,,,,,,,,,,,,0,,-11,11,142207,2999,b,1338,143545,-11,142096,11,141607,600,-10,145696,10,145206,613,blockstart,Line.bmp,3200,-22,149896,22,146818,0,M45.jpg,,,,,,,,,,,,,,0,0,145819,,0,0,1000,-23,146696,0,146696,23,145819,999,0,100,,0,0,145696,,146696,145796,1,DislikeProc,M105.jpg,2,1,2,,,,RunLoseWin,RunBlockA1,,1,,loss
SPADE_Social_Doors_052318,3849,1,18+,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-01T23:14:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3410117</Frequency><Timestamp dt:dt=""r8"">116133834006</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-01T23:14:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SPADE_Social_Doors_052318-3849-1,75.033,1.0.0.297,0,708379,0,0,5000,0,713379,0,713379,12,708379,0,0,703369,1,170398326,Professional,2.0.10.356,2.0.10.356,4/1/19,,19:14:42,2.0.10.252,VersionA,1,0,409113,0,0,5000,0,409113,0,409113,11,409113,0,0,-1,409003,409113,409102,0,RunLoseWinA,1,1,1,RunListA,136572,t,136572,126016,3,1,,,,,,,,,,,,,,,,,0,,-8,8,150604,2998,b,1475,152079,-8,150496,8,150004,600,-6,154096,6,153602,600,winfollowloss,DownArrow.bmp,3200,-19,158296,19,155215,0,M01.jpg,,,,,,,,,,,,,,0,0,154202,,0,0,1000,-6,155096,0,155096,6,154202,1013,0,100,,0,0,154096,,155096,154196,1,DislikeProc,M119.jpg,3,1,3,,,,RunLoseWin,RunBlockA1,,2,,win
SPADE_Social_Doors_052318,3849,1,18+,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-01T23:14:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3410117</Frequency><Timestamp dt:dt=""r8"">116133834006</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-01T23:14:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SPADE_Social_Doors_052318-3849-1,75.033,1.0.0.297,0,708379,0,0,5000,0,713379,0,713379,12,708379,0,0,703369,1,170398326,Professional,2.0.10.356,2.0.10.356,4/1/19,,19:14:42,2.0.10.252,VersionA,1,0,409113,0,0,5000,0,409113,0,409113,11,409113,0,0,-1,409003,409113,409102,0,RunLoseWinA,1,1,1,RunListA,136572,t,136572,126016,4,1,,,,,,,,,,,,,,,,,0,,-4,4,159000,2999,g,1913,160913,-4,158896,4,158400,600,-3,162496,3,161999,600,lossfollowwin,Line.bmp,3200,-16,166696,16,163612,0,M53.jpg,,,,,,,,,,,,,,0,0,162599,,0,0,1000,-3,163496,0,163496,3,162599,1013,0,100,,0,0,162496,,163496,162596,1,DislikeProc,M75.jpg,4,1,4,,,,RunLoseWin,RunBlockA1,,3,,loss
SPADE_Social_Doors_052318,3849,1,18+,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-01T23:14:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3410117</Frequency><Timestamp dt:dt=""r8"">116133834006</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-01T23:14:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SPADE_Social_Doors_052318-3849-1,75.033,1.0.0.297,0,708379,0,0,5000,0,713379,0,713379,12,708379,0,0,703369,1,170398326,Professional,2.0.10.356,2.0.10.356,4/1/19,,19:14:42,2.0.10.252,VersionA,1,0,409113,0,0,5000,0,409113,0,409113,11,409113,0,0,-1,409003,409113,409102,0,RunLoseWinA,1,1,1,RunListA,136572,t,136572,126016,5,1,,,,,,,,,,,,,,,,,0,,-1,1,167397,3012,b,1719,169116,-1,167296,1,166797,600,-13,170896,13,170409,600,lossfollowloss,Line.bmp,5300,-26,177196,26,172022,0,F21.jpg,,,,,,,,,,,,,,0,0,171009,,0,0,1000,-13,171896,0,171896,13,171009,1013,0,100,,0,0,170896,,171896,170996,1,DislikeProc,F97.jpg,5,1,5,,,,RunLoseWin,RunBlockA1,,4,,loss
SPADE_Social_Doors_052318,3849,1,18+,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-01T23:14:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3410117</Frequency><Timestamp dt:dt=""r8"">116133834006</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-01T23:14:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SPADE_Social_Doors_052318-3849-1,75.033,1.0.0.297,0,708379,0,0,5000,0,713379,0,713379,12,708379,0,0,703369,1,170398326,Professional,2.0.10.356,2.0.10.356,4/1/19,,19:14:42,2.0.10.252,VersionA,1,0,409113,0,0,5000,0,409113,0,409113,11,409113,0,0,-1,409003,409113,409102,0,RunLoseWinA,1,1,1,RunListA,136572,t,136572,126016,6,1,,,,,,,,,,,,,,,,,0,,-3,3,177899,2999,g,2200,180099,-3,177796,3,177299,600,-2,181396,2,180898,600,lossfollowloss,Line.bmp,5300,-15,187696,15,182511,0,F65.jpg,,,,,,,,,,,,,,0,0,181498,,0,0,1000,-2,182396,0,182396,2,181498,1013,0,100,,0,0,181396,,182396,181496,1,DislikeProc,F23.jpg,6,1,6,,,,RunLoseWin,RunBlockA1,,5,,loss
SPADE_Social_Doors_052318,3849,1,18+,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-01T23:14:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3410117</Frequency><Timestamp dt:dt=""r8"">116133834006</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-01T23:14:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SPADE_Social_Doors_052318-3849-1,75.033,1.0.0.297,0,708379,0,0,5000,0,713379,0,713379,12,708379,0,0,703369,1,170398326,Professional,2.0.10.356,2.0.10.356,4/1/19,,19:14:42,2.0.10.252,VersionA,1,0,409113,0,0,5000,0,409113,0,409113,11,409113,0,0,-1,409003,409113,409102,0,RunLoseWinA,1,1,1,RunListA,136572,t,136572,126016,7,1,,,,,,,,,,,,,,,,,0,,-6,6,188402,2998,b,1775,190177,-6,188296,6,187802,600,-4,191896,4,191400,600,winfollowloss,DownArrow.bmp,5300,-17,198196,17,193013,0,F93.jpg,,,,,,,,,,,,,,0,0,192000,,0,0,1000,-4,192896,0,192896,4,192000,1013,0,100,,0,0,191896,,192896,191996,1,DislikeProc,F03.jpg,7,1,7,,,,RunLoseWin,RunBlockA1,,6,,win
SPADE_Social_Doors_052318,3849,1,18+,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-01T23:14:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3410117</Frequency><Timestamp dt:dt=""r8"">116133834006</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-01T23:14:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SPADE_Social_Doors_052318-3849-1,75.033,1.0.0.297,0,708379,0,0,5000,0,713379,0,713379,12,708379,0,0,703369,1,170398326,Professional,2.0.10.356,2.0.10.356,4/1/19,,19:14:42,2.0.10.252,VersionA,1,0,409113,0,0,5000,0,409113,0,409113,11,409113,0,0,-1,409003,409113,409102,0,RunLoseWinA,1,1,1,RunListA,136572,t,136572,126016,8,1,,,,,,,,,,,,,,,,,0,,-8,8,198904,2999,g,1964,200868,-8,198796,8,198304,600,-7,202396,7,201903,600,winfollowwin,DownArrow.bmp,3200,-19,206596,19,203515,0,F51.jpg,,,,,,,,,,,,,,0,0,202503,,0,0,1000,-7,203396,0,203396,7,202503,1012,0,100,,0,0,202396,,203396,202496,1,DislikeProc,F01.jpg,8,1,8,,,,RunLoseWin,RunBlockA1,,7,,win
SPADE_Social_Doors_052318,3849,1,18+,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-01T23:14:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3410117</Frequency><Timestamp dt:dt=""r8"">116133834006</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-01T23:14:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SPADE_Social_Doors_052318-3849-1,75.033,1.0.0.297,0,708379,0,0,5000,0,713379,0,713379,12,708379,0,0,703369,1,170398326,Professional,2.0.10.356,2.0.10.356,4/1/19,,19:14:42,2.0.10.252,VersionA,1,0,409113,0,0,5000,0,409113,0,409113,11,409113,0,0,-1,409003,409113,409102,0,RunLoseWinA,1,1,1,RunListA,136572,t,136572,126016,9,1,,,,,,,,,,,,,,,,,0,,-5,5,207301,2998,b,2293,209594,-5,207196,5,206701,600,-3,210796,3,210299,600,lossfollowwin,Line.bmp,1100,-3,212896,3,211899,0,F49.jpg,,,,,,,,,,,,,,0,0,210899,,0,0,1000,-3,211796,0,211796,3,210899,1000,0,100,,0,0,210796,,211796,210896,1,DislikeProc,F113.jpg,9,1,9,,,,RunLoseWin,RunBlockA1,,8,,loss
SPADE_Social_Doors_052318,3849,1,18+,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-01T23:14:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3410117</Frequency><Timestamp dt:dt=""r8"">116133834006</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-01T23:14:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",SPADE_Social_Doors_052318-3849-1,75.033,1.0.0.297,0,708379,0,0,5000,0,713379,0,713379,12,708379,0,0,703369,1,170398326,Professional,2.0.10.356,2.0.10.356,4/1/19,,19:14:42,2.0.10.252,VersionA,1,0,409113,0,0,5000,0,409113,0,409113,11,409113,0,0,-1,409003,409113,409102,0,RunLoseWinA,1,1,1,RunListA,136572,t,136572,126016,10,1,,,,,,,,,,,,,,,,,0,,-9,9,213605,2999,g,2546,216151,-9,213496,9,213005,600,-8,217096,8,216604,599,winfollowloss,DownArrow.bmp,1100,-20,219196,20,218216,0,F91.jpg,,,,,,,,,,,,,,0,0,217203,,0,0,1000,-7,218096,0,218096,7,217203,1013,0,100,,0,0,217096,,218096,217196,1,DislikeProc,F99.jpg,10,1,10,,,,RunLoseWin,RunBlockA1,,9,,win
