\\tu\cla\Jarcho\STUDIES\Social_Doors\College_Social_Doors\Data\CompletedData\S4069_BN\doors\SPADE_Doors_052318-4069-1.edat2
ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	GoodBye.FinishTime	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	PleaseRest.ActionDelay	PleaseRest.ActionTime	PleaseRest.CustomOffsetTime	PleaseRest.CustomOnsetTime	PleaseRest.Duration	PleaseRest.FinishTime	PleaseRest.OffsetDelay	PleaseRest.OffsetTime	PleaseRest.OnsetDelay	PleaseRest.OnsetTime	PleaseRest.OnsetToOnsetTime	PleaseRest.PendingInputMasks	PleaseRest.PreRelease	PleaseRest.StartTime	PleaseRest.TargetOffsetTime	PleaseRest.TargetOnsetTime	PleaseRest.TimingMode	Procedure[Block]	RunList	RunList.Cycle	RunList.Sample	Running[Block]	ScannerTrigger.OffsetTime	ScannerTrigger.RESP	ScannerTrigger.RTTime	ScannerTrigger.StartTime	Trial	BlockNumber	Doors.ACC	Doors.CRESP	Doors.DurationError	Doors.OffsetTime	Doors.OnsetDelay	Doors.OnsetTime	Doors.OnsetToOnsetTime	Doors.RESP	Doors.RT	Doors.RTTime	Fixation1.DurationError	Fixation1.OffsetTime	Fixation1.OnsetDelay	Fixation1.OnsetTime	Fixation1.OnsetToOnsetTime	Fixation2.ACC	Fixation2.ActionDelay	Fixation2.ActionTime	Fixation2.CRESP	Fixation2.CustomOffsetTime	Fixation2.CustomOnsetTime	Fixation2.Duration	Fixation2.DurationError	Fixation2.FinishTime	Fixation2.OffsetDelay	Fixation2.OffsetTime	Fixation2.OnsetDelay	Fixation2.OnsetTime	Fixation2.OnsetToOnsetTime	Fixation2.PendingInputMasks	Fixation2.PreRelease	Fixation2.RESP	Fixation2.RT	Fixation2.RTTime	Fixation2.StartTime	Fixation2.Tag	Fixation2.TargetOffsetTime	Fixation2.TargetOnsetTime	Fixation2.TimingMode	FollowWinLoss	Image	ITI	ITI.Duration	ITI.DurationError	ITI.OffsetTime	ITI.OnsetDelay	ITI.OnsetTime	ITI.OnsetToOnsetTime	LoseInstructions.ActionDelay	LoseInstructions.ActionTime	LoseInstructions.CustomOffsetTime	LoseInstructions.CustomOnsetTime	LoseInstructions.Duration	LoseInstructions.FinishTime	LoseInstructions.OffsetDelay	LoseInstructions.OffsetTime	LoseInstructions.OnsetDelay	LoseInstructions.OnsetTime	LoseInstructions.OnsetToOnsetTime	LoseInstructions.RESP	LoseInstructions.RT	Outcome.ACC	Outcome.ActionDelay	Outcome.ActionTime	Outcome.CRESP	Outcome.CustomOffsetTime	Outcome.CustomOnsetTime	Outcome.Duration	Outcome.DurationError	Outcome.FinishTime	Outcome.OffsetDelay	Outcome.OffsetTime	Outcome.OnsetDelay	Outcome.OnsetTime	Outcome.OnsetToOnsetTime	Outcome.PendingInputMasks	Outcome.PreRelease	Outcome.RESP	Outcome.RT	Outcome.RTTime	Outcome.StartTime	Outcome.Tag	Outcome.TargetOffsetTime	Outcome.TargetOnsetTime	Outcome.TimingMode	PrizeInstructions.ActionDelay	PrizeInstructions.ActionTime	PrizeInstructions.CustomOffsetTime	PrizeInstructions.CustomOnsetTime	PrizeInstructions.Duration	PrizeInstructions.DurationError	PrizeInstructions.OffsetTime	PrizeInstructions.OnsetDelay	PrizeInstructions.OnsetTime	PrizeInstructions.OnsetToOnsetTime	PrizeInstructions.RESP	Procedure[Trial]	RunBlock1	RunBlock1.Cycle	RunBlock1.Sample	RunBlock2	RunBlock2.Cycle	RunBlock2.Sample	RunLoseWin	Running[Trial]	RunWinLose	TrialListPickLoss	TrialListPickWin	TrialType
SPADE_Doors_052318	4069	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-08-06T19:16:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410136</Frequency><Timestamp dt:dt="r8">91844059271</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-08-06T19:16:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Doors_052318-4069-1	75.030	1.0.0.283	692911	1	1650432869	Professional	2.0.10.356	2.0.10.356	08-06-2019	8/6/2019 7:16:36 PM	15:16:36	2.0.10.252	1	0	390072	0	0	5000	395072	0	395072	9	390072	0	0	0	389965	395072	390063	0	RunLoseWin	1	1	1	RunList	117528	t	117528	103439	1	1																																																	0	117557	0	0	5000	117557	0	117557	29	117557	0	t	2071																																				LoseInstructionProc	1	1	1				RunLoseWin	RunBlock1				
SPADE_Doors_052318	4069	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-08-06T19:16:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410136</Frequency><Timestamp dt:dt="r8">91844059271</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-08-06T19:16:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Doors_052318-4069-1	75.030	1.0.0.283	692911	1	1650432869	Professional	2.0.10.356	2.0.10.356	08-06-2019	8/6/2019 7:16:36 PM	15:16:36	2.0.10.252	1	0	390072	0	0	5000	395072	0	395072	9	390072	0	0	0	389965	395072	390063	0	RunLoseWin	1	1	1	RunList	117528	t	117528	103439	2	1	0		-11	126057	11	123168	2999	g	807	123975	-11	123057	11	122568	600	0	0	126167		0	0	600	-10	126657	0	126657	10	126167	613	0	100		0	0	126057	fix+	126657	126157	1	blockstart	Line.bmp	3200	3200	-23	130857	23	127780	0														0	0	126780		0	0	1000	-23	127657	0	127657	23	126780	1000	0	100		0	0	126657		127657	126757	1												LoseProc	2	1	2				RunLoseWin	RunBlock1		1		loss
SPADE_Doors_052318	4069	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-08-06T19:16:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410136</Frequency><Timestamp dt:dt="r8">91844059271</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-08-06T19:16:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Doors_052318-4069-1	75.030	1.0.0.283	692911	1	1650432869	Professional	2.0.10.356	2.0.10.356	08-06-2019	8/6/2019 7:16:36 PM	15:16:36	2.0.10.252	1	0	390072	0	0	5000	395072	0	395072	9	390072	0	0	0	389965	395072	390063	0	RunLoseWin	1	1	1	RunList	117528	t	117528	103439	3	1	0		-8	134457	8	131565	2998	b	756	132321	-8	131457	8	130965	600	0	1	134564		0	0	600	-6	135057	0	135057	6	134563	601	0	100		0	0	134457	fix+	135057	134557	1	winfollowloss	DownArrow.bmp	3200	3200	-19	139257	19	136176	0														0	0	135164		0	0	1000	-7	136057	0	136057	7	135164	1012	0	100		0	0	135057		136057	135157	1												LoseProc	3	1	3				RunLoseWin	RunBlock1		2		win
SPADE_Doors_052318	4069	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-08-06T19:16:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410136</Frequency><Timestamp dt:dt="r8">91844059271</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-08-06T19:16:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Doors_052318-4069-1	75.030	1.0.0.283	692911	1	1650432869	Professional	2.0.10.356	2.0.10.356	08-06-2019	8/6/2019 7:16:36 PM	15:16:36	2.0.10.252	1	0	390072	0	0	5000	395072	0	395072	9	390072	0	0	0	389965	395072	390063	0	RunLoseWin	1	1	1	RunList	117528	t	117528	103439	4	1	0		-4	142857	4	139961	2999	b	781	140742	-5	139857	5	139362	599	0	0	142960		0	0	600	-3	143457	0	143457	3	142960	600	0	100		0	0	142857	fix+	143457	142957	1	lossfollowwin	Line.bmp	3200	3200	-16	147657	16	144573	0														0	0	143560		0	0	1000	-3	144457	0	144457	3	143560	1013	0	100		0	0	143457		144457	143557	1												LoseProc	4	1	4				RunLoseWin	RunBlock1		3		loss
SPADE_Doors_052318	4069	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-08-06T19:16:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410136</Frequency><Timestamp dt:dt="r8">91844059271</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-08-06T19:16:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Doors_052318-4069-1	75.030	1.0.0.283	692911	1	1650432869	Professional	2.0.10.356	2.0.10.356	08-06-2019	8/6/2019 7:16:36 PM	15:16:36	2.0.10.252	1	0	390072	0	0	5000	395072	0	395072	9	390072	0	0	0	389965	395072	390063	0	RunLoseWin	1	1	1	RunList	117528	t	117528	103439	5	1	0		-1	151257	1	148358	2999	g	762	149120	-1	148257	1	147758	600	0	0	151357		0	0	600	0	151857	0	151857	0	151357	613	0	100		0	0	151257	fix+	151857	151357	1	lossfollowloss	Line.bmp	5300	5300	-26	158157	26	152983	0														0	0	151970		0	0	1000	-13	152857	0	152857	13	151970	1013	0	100		0	0	151857		152857	151957	1												LoseProc	5	1	5				RunLoseWin	RunBlock1		4		loss
SPADE_Doors_052318	4069	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-08-06T19:16:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410136</Frequency><Timestamp dt:dt="r8">91844059271</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-08-06T19:16:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Doors_052318-4069-1	75.030	1.0.0.283	692911	1	1650432869	Professional	2.0.10.356	2.0.10.356	08-06-2019	8/6/2019 7:16:36 PM	15:16:36	2.0.10.252	1	0	390072	0	0	5000	395072	0	395072	9	390072	0	0	0	389965	395072	390063	0	RunLoseWin	1	1	1	RunList	117528	t	117528	103439	6	1	0		-3	161757	3	158860	2999	g	492	159352	-3	158757	3	158260	600	0	0	161859		0	0	600	-2	162357	0	162357	2	161859	600	0	100		0	0	161757	fix+	162357	161857	1	lossfollowloss	Line.bmp	5300	5300	-1	168657	1	163458	0														0	0	162459		0	0	1000	-2	163357	0	163357	2	162459	999	0	100		0	0	162357		163357	162457	1												LoseProc	6	1	6				RunLoseWin	RunBlock1		5		loss
SPADE_Doors_052318	4069	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-08-06T19:16:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410136</Frequency><Timestamp dt:dt="r8">91844059271</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-08-06T19:16:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Doors_052318-4069-1	75.030	1.0.0.283	692911	1	1650432869	Professional	2.0.10.356	2.0.10.356	08-06-2019	8/6/2019 7:16:36 PM	15:16:36	2.0.10.252	1	0	390072	0	0	5000	395072	0	395072	9	390072	0	0	0	389965	395072	390063	0	RunLoseWin	1	1	1	RunList	117528	t	117528	103439	7	1	0		-6	172257	6	169363	2998	b	936	170299	-6	169257	6	168763	600	0	0	172361		0	0	600	-4	172857	0	172857	4	172361	600	0	100		0	0	172257	fix+	172857	172357	1	winfollowloss	DownArrow.bmp	5300	5300	-4	179157	4	173961	0														0	0	172961		0	0	1000	-4	173857	0	173857	4	172961	1000	0	100		0	0	172857		173857	172957	1												LoseProc	7	1	7				RunLoseWin	RunBlock1		6		win
SPADE_Doors_052318	4069	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-08-06T19:16:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410136</Frequency><Timestamp dt:dt="r8">91844059271</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-08-06T19:16:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Doors_052318-4069-1	75.030	1.0.0.283	692911	1	1650432869	Professional	2.0.10.356	2.0.10.356	08-06-2019	8/6/2019 7:16:36 PM	15:16:36	2.0.10.252	1	0	390072	0	0	5000	395072	0	395072	9	390072	0	0	0	389965	395072	390063	0	RunLoseWin	1	1	1	RunList	117528	t	117528	103439	8	1	0		-8	182757	8	179865	2999	b	435	180300	-8	179757	8	179265	600	0	0	182864		0	0	600	-7	183357	0	183357	7	182864	599	0	100		0	0	182757	fix+	183357	182857	1	winfollowwin	DownArrow.bmp	3200	3200	-6	187557	6	184463	0														0	0	183463		0	0	1000	-6	184357	0	184357	6	183463	1000	0	100		0	0	183357		184357	183457	1												LoseProc	8	1	8				RunLoseWin	RunBlock1		7		win
SPADE_Doors_052318	4069	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-08-06T19:16:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410136</Frequency><Timestamp dt:dt="r8">91844059271</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-08-06T19:16:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Doors_052318-4069-1	75.030	1.0.0.283	692911	1	1650432869	Professional	2.0.10.356	2.0.10.356	08-06-2019	8/6/2019 7:16:36 PM	15:16:36	2.0.10.252	1	0	390072	0	0	5000	395072	0	395072	9	390072	0	0	0	389965	395072	390063	0	RunLoseWin	1	1	1	RunList	117528	t	117528	103439	9	1	0		-5	191157	5	188262	2998	b	1406	189668	-5	188157	5	187662	600	0	0	191260		0	0	600	-3	191757	0	191757	3	191260	600	0	100		0	0	191157	fix+	191757	191257	1	lossfollowwin	Line.bmp	1100	1100	-16	193857	16	192873	0														0	0	191860		0	0	1000	-3	192757	0	192757	3	191860	1013	0	100		0	0	191757		192757	191857	1												LoseProc	9	1	9				RunLoseWin	RunBlock1		8		loss
SPADE_Doors_052318	4069	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-08-06T19:16:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410136</Frequency><Timestamp dt:dt="r8">91844059271</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-08-06T19:16:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Doors_052318-4069-1	75.030	1.0.0.283	692911	1	1650432869	Professional	2.0.10.356	2.0.10.356	08-06-2019	8/6/2019 7:16:36 PM	15:16:36	2.0.10.252	1	0	390072	0	0	5000	395072	0	395072	9	390072	0	0	0	389965	395072	390063	0	RunLoseWin	1	1	1	RunList	117528	t	117528	103439	10	1	0		-9	197457	9	194566	2998	g	1722	196288	-9	194457	9	193966	600	0	0	197564		0	0	600	-7	198057	0	198057	7	197564	600	0	100		0	0	197457	fix+	198057	197557	1	winfollowloss	DownArrow.bmp	1100	1100	-20	200157	20	199177	0														0	0	198164		0	0	1000	-7	199057	0	199057	7	198164	1013	0	100		0	0	198057		199057	198157	1												LoseProc	10	1	10				RunLoseWin	RunBlock1		9		win
