\\tu\cla\Jarcho\STUDIES\Social_Doors\College_Social_Doors\Data\CompletedData\S4069_BN\social\SPADE_Social_Doors_052318-4069-1.edat2
ExperimentName	Subject	Session	AgeRange	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	GoodBye.ActionDelay	GoodBye.ActionTime	GoodBye.CustomOffsetTime	GoodBye.CustomOnsetTime	GoodBye.Duration	GoodBye.DurationError	GoodBye.FinishTime	GoodBye.OffsetDelay	GoodBye.OffsetTime	GoodBye.OnsetDelay	GoodBye.OnsetTime	GoodBye.OnsetToOnsetTime	GoodBye.PreRelease	GoodBye.StartTime	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Version	Block	PleaseRest.ActionDelay	PleaseRest.ActionTime	PleaseRest.CustomOffsetTime	PleaseRest.CustomOnsetTime	PleaseRest.Duration	PleaseRest.DurationError	PleaseRest.FinishTime	PleaseRest.OffsetDelay	PleaseRest.OffsetTime	PleaseRest.OnsetDelay	PleaseRest.OnsetTime	PleaseRest.OnsetToOnsetTime	PleaseRest.PendingInputMasks	PleaseRest.PreRelease	PleaseRest.StartTime	PleaseRest.TargetOffsetTime	PleaseRest.TargetOnsetTime	PleaseRest.TimingMode	Procedure[Block]	RunListA	RunListA.Cycle	RunListA.Sample	Running[Block]	ScannerTriggerA.OffsetTime	ScannerTriggerA.RESP	ScannerTriggerA.RTTime	ScannerTriggerA.StartTime	Trial	BlockNumber	DislikeInstructions.ActionDelay	DislikeInstructions.ActionTime	DislikeInstructions.CustomOffsetTime	DislikeInstructions.CustomOnsetTime	DislikeInstructions.Duration	DislikeInstructions.DurationError	DislikeInstructions.FinishTime	DislikeInstructions.OffsetDelay	DislikeInstructions.OffsetTime	DislikeInstructions.OnsetDelay	DislikeInstructions.OnsetTime	DislikeInstructions.OnsetToOnsetTime	DislikeInstructions.PendingInputMasks	DislikeInstructions.PreRelease	DislikeInstructions.RESP	DislikeInstructions.StartTime	Faces.ACC	Faces.CRESP	Faces.DurationError	Faces.OnsetDelay	Faces.OnsetTime	Faces.OnsetToOnsetTime	Faces.RESP	Faces.RT	Faces.RTTime	Fixation1.DurationError	Fixation1.OffsetTime	Fixation1.OnsetDelay	Fixation1.OnsetTime	Fixation1.OnsetToOnsetTime	Fixation2.DurationError	Fixation2.OffsetTime	Fixation2.OnsetDelay	Fixation2.OnsetTime	Fixation2.OnsetToOnsetTime	FollowWinLoss	Image	ITI	ITI.DurationError	ITI.OffsetTime	ITI.OnsetDelay	ITI.OnsetTime	ITI.OnsetToOnsetTime	LeftFace	LikeInstructions.ActionDelay	LikeInstructions.ActionTime	LikeInstructions.CustomOffsetTime	LikeInstructions.CustomOnsetTime	LikeInstructions.Duration	LikeInstructions.DurationError	LikeInstructions.FinishTime	LikeInstructions.OffsetTime	LikeInstructions.OnsetDelay	LikeInstructions.OnsetTime	LikeInstructions.OnsetToOnsetTime	LikeInstructions.RESP	LikeInstructions.RT	Outcome.ACC	Outcome.ActionDelay	Outcome.ActionTime	Outcome.CRESP	Outcome.CustomOffsetTime	Outcome.CustomOnsetTime	Outcome.Duration	Outcome.DurationError	Outcome.FinishTime	Outcome.OffsetDelay	Outcome.OffsetTime	Outcome.OnsetDelay	Outcome.OnsetTime	Outcome.OnsetToOnsetTime	Outcome.PendingInputMasks	Outcome.PreRelease	Outcome.RESP	Outcome.RT	Outcome.RTTime	Outcome.StartTime	Outcome.Tag	Outcome.TargetOffsetTime	Outcome.TargetOnsetTime	Outcome.TimingMode	Procedure[Trial]	RightFace	RunBlockA1	RunBlockA1.Cycle	RunBlockA1.Sample	RunBlockA2	RunBlockA2.Cycle	RunBlockA2.Sample	RunLoseWin	Running[Trial]	RunWinLose	TrialListDislikeA	TrialListLikeA	TrialType
SPADE_Social_Doors_052318	4069	1	18+	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-08-06T19:28:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410136</Frequency><Timestamp dt:dt="r8">94238626977</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-08-06T19:28:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Social_Doors_052318-4069-1	75.031	1.0.0.297	0	666614	0	0	5000	0	671614	0	671614	11	666614	0	0	661604	1	-249968060	Professional	2.0.10.356	2.0.10.356	08-06-2019	8/6/2019 7:28:19 PM	15:28:19	2.0.10.252	VersionA	1	0	368256	0	0	5000	0	368256	0	368256	5	368256	0	0	-1	368152	368256	368251	0	RunWinLoseA	2	1	1	RunListA	95715	t	95715	82261	1	1																																													0	95741	0	0	5000	0	95741	95741	26	95741	0	t	2074																									LikeInstructionProc					1	1	1		RunBlockA2	RunWinLose			
SPADE_Social_Doors_052318	4069	1	18+	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-08-06T19:28:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410136</Frequency><Timestamp dt:dt="r8">94238626977</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-08-06T19:28:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Social_Doors_052318-4069-1	75.031	1.0.0.297	0	666614	0	0	5000	0	671614	0	671614	11	666614	0	0	661604	1	-249968060	Professional	2.0.10.356	2.0.10.356	08-06-2019	8/6/2019 7:28:19 PM	15:28:19	2.0.10.252	VersionA	1	0	368256	0	0	5000	0	368256	0	368256	5	368256	0	0	-1	368152	368256	368251	0	RunWinLoseA	2	1	1	RunListA	95715	t	95715	82261	2	1																	0		-11	11	101352	2999	b	1722	103074	-11	101241	11	100752	600	-10	104841	10	104351	613	blockstart	Line.bmp	1100	-22	106941	22	105963	0	M111.jpg														0	0	104964		0	0	1000	-23	105841	0	105841	23	104964	999	0	100		0	0	104841		105841	104941	1	LikeProc	M25.jpg				2	1	2		RunBlockA2	RunWinLose		1	loss
SPADE_Social_Doors_052318	4069	1	18+	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-08-06T19:28:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410136</Frequency><Timestamp dt:dt="r8">94238626977</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-08-06T19:28:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Social_Doors_052318-4069-1	75.031	1.0.0.297	0	666614	0	0	5000	0	671614	0	671614	11	666614	0	0	661604	1	-249968060	Professional	2.0.10.356	2.0.10.356	08-06-2019	8/6/2019 7:28:19 PM	15:28:19	2.0.10.252	VersionA	1	0	368256	0	0	5000	0	368256	0	368256	5	368256	0	0	-1	368152	368256	368251	0	RunWinLoseA	2	1	1	RunListA	95715	t	95715	82261	3	1																	0		-2	2	107643	2999	g	1956	109599	-2	107541	2	107043	600	-1	111141	1	110642	599	winfollowloss	UpArrow.bmp	3200	-13	115341	13	112254	0	M109.jpg														0	0	111241		0	0	1000	0	112141	0	112141	0	111241	1013	0	100		0	0	111141		112141	111241	1	LikeProc	M39.jpg				3	1	3		RunBlockA2	RunWinLose		2	win
SPADE_Social_Doors_052318	4069	1	18+	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-08-06T19:28:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410136</Frequency><Timestamp dt:dt="r8">94238626977</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-08-06T19:28:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Social_Doors_052318-4069-1	75.031	1.0.0.297	0	666614	0	0	5000	0	671614	0	671614	11	666614	0	0	661604	1	-249968060	Professional	2.0.10.356	2.0.10.356	08-06-2019	8/6/2019 7:28:19 PM	15:28:19	2.0.10.252	VersionA	1	0	368256	0	0	5000	0	368256	0	368256	5	368256	0	0	-1	368152	368256	368251	0	RunWinLoseA	2	1	1	RunListA	95715	t	95715	82261	4	1																	0		-12	12	116053	2998	g	1290	117343	-12	115941	12	115453	600	-10	119541	10	119051	600	lossfollowwin	Line.bmp	5300	-23	125841	23	120664	0	M95.jpg														0	0	119651		0	0	1000	-10	120541	0	120541	10	119651	1013	0	100		0	0	119541		120541	119641	1	LikeProc	M65.jpg				4	1	4		RunBlockA2	RunWinLose		3	loss
SPADE_Social_Doors_052318	4069	1	18+	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-08-06T19:28:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410136</Frequency><Timestamp dt:dt="r8">94238626977</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-08-06T19:28:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Social_Doors_052318-4069-1	75.031	1.0.0.297	0	666614	0	0	5000	0	671614	0	671614	11	666614	0	0	661604	1	-249968060	Professional	2.0.10.356	2.0.10.356	08-06-2019	8/6/2019 7:28:19 PM	15:28:19	2.0.10.252	VersionA	1	0	368256	0	0	5000	0	368256	0	368256	5	368256	0	0	-1	368152	368256	368251	0	RunWinLoseA	2	1	1	RunListA	95715	t	95715	82261	5	1																	0		-1	1	126542	3012	b	1961	128503	-1	126441	1	125942	600	-13	130041	13	129554	600	lossfollowloss	Line.bmp	11600	-25	142641	25	131166	0	F61.jpg														0	0	130154		0	0	1000	-13	131041	0	131041	13	130154	1012	0	100		0	0	130041		131041	130141	1	LikeProc	F13.jpg				5	1	5		RunBlockA2	RunWinLose		4	loss
SPADE_Social_Doors_052318	4069	1	18+	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-08-06T19:28:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410136</Frequency><Timestamp dt:dt="r8">94238626977</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-08-06T19:28:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Social_Doors_052318-4069-1	75.031	1.0.0.297	0	666614	0	0	5000	0	671614	0	671614	11	666614	0	0	661604	1	-249968060	Professional	2.0.10.356	2.0.10.356	08-06-2019	8/6/2019 7:28:19 PM	15:28:19	2.0.10.252	VersionA	1	0	368256	0	0	5000	0	368256	0	368256	5	368256	0	0	-1	368152	368256	368251	0	RunWinLoseA	2	1	1	RunListA	95715	t	95715	82261	6	1																	0		-7	7	143348	2999	g	2724	146072	-7	143241	7	142748	600	-6	146841	6	146347	600	lossfollowloss	Line.bmp	5300	-19	153141	19	147960	0	F115.jpg														0	0	146947		0	0	1000	-6	147841	0	147841	6	146947	1013	0	100		0	0	146841		147841	146941	1	LikeProc	F39.jpg				6	1	6		RunBlockA2	RunWinLose		5	loss
SPADE_Social_Doors_052318	4069	1	18+	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-08-06T19:28:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410136</Frequency><Timestamp dt:dt="r8">94238626977</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-08-06T19:28:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Social_Doors_052318-4069-1	75.031	1.0.0.297	0	666614	0	0	5000	0	671614	0	671614	11	666614	0	0	661604	1	-249968060	Professional	2.0.10.356	2.0.10.356	08-06-2019	8/6/2019 7:28:19 PM	15:28:19	2.0.10.252	VersionA	1	0	368256	0	0	5000	0	368256	0	368256	5	368256	0	0	-1	368152	368256	368251	0	RunWinLoseA	2	1	1	RunListA	95715	t	95715	82261	7	1																	0		-10	10	153851	2998	b	1329	155180	-10	153741	10	153251	600	-8	157341	8	156849	600	winfollowloss	UpArrow.bmp	3200	-21	161541	21	158462	0	M33.jpg														0	0	157449		0	0	1000	-8	158341	0	158341	8	157449	1013	0	100		0	0	157341		158341	157441	1	LikeProc	M113.jpg				7	1	7		RunBlockA2	RunWinLose		6	win
SPADE_Social_Doors_052318	4069	1	18+	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-08-06T19:28:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410136</Frequency><Timestamp dt:dt="r8">94238626977</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-08-06T19:28:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Social_Doors_052318-4069-1	75.031	1.0.0.297	0	666614	0	0	5000	0	671614	0	671614	11	666614	0	0	661604	1	-249968060	Professional	2.0.10.356	2.0.10.356	08-06-2019	8/6/2019 7:28:19 PM	15:28:19	2.0.10.252	VersionA	1	0	368256	0	0	5000	0	368256	0	368256	5	368256	0	0	-1	368152	368256	368251	0	RunWinLoseA	2	1	1	RunListA	95715	t	95715	82261	8	1																	0		-6	6	162247	2999	b	1553	163800	-6	162141	6	161647	600	-5	165741	5	165246	600	winfollowwin	UpArrow.bmp	1100	-4	167841	4	166845	0	M101.jpg														0	0	165846		0	0	1000	-5	166741	0	166741	5	165846	999	0	100		0	0	165741		166741	165841	1	LikeProc	M97.jpg				8	1	8		RunBlockA2	RunWinLose		7	win
SPADE_Social_Doors_052318	4069	1	18+	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-08-06T19:28:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410136</Frequency><Timestamp dt:dt="r8">94238626977</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-08-06T19:28:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Social_Doors_052318-4069-1	75.031	1.0.0.297	0	666614	0	0	5000	0	671614	0	671614	11	666614	0	0	661604	1	-249968060	Professional	2.0.10.356	2.0.10.356	08-06-2019	8/6/2019 7:28:19 PM	15:28:19	2.0.10.252	VersionA	1	0	368256	0	0	5000	0	368256	0	368256	5	368256	0	0	-1	368152	368256	368251	0	RunWinLoseA	2	1	1	RunListA	95715	t	95715	82261	9	1																	0		-10	10	168551	2999	b	1416	169967	-10	168441	10	167951	600	-9	172041	9	171550	600	lossfollowwin	Line.bmp	3200	-8	176241	8	173149	0	F07.jpg														0	0	172150		0	0	1000	-9	173041	0	173041	9	172150	999	0	100		0	0	172041		173041	172141	1	LikeProc	F15.jpg				9	1	9		RunBlockA2	RunWinLose		8	loss
SPADE_Social_Doors_052318	4069	1	18+	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-08-06T19:28:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410136</Frequency><Timestamp dt:dt="r8">94238626977</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-08-06T19:28:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Social_Doors_052318-4069-1	75.031	1.0.0.297	0	666614	0	0	5000	0	671614	0	671614	11	666614	0	0	661604	1	-249968060	Professional	2.0.10.356	2.0.10.356	08-06-2019	8/6/2019 7:28:19 PM	15:28:19	2.0.10.252	VersionA	1	0	368256	0	0	5000	0	368256	0	368256	5	368256	0	0	-1	368152	368256	368251	0	RunWinLoseA	2	1	1	RunListA	95715	t	95715	82261	10	1																	0		-7	7	176948	2999	g	1563	178511	-7	176841	7	176348	600	-6	180441	6	179947	599	winfollowloss	UpArrow.bmp	3200	-5	184641	5	181546	0	F47.jpg														0	0	180546		0	0	1000	-5	181441	0	181441	5	180546	1000	0	100		0	0	180441		181441	180541	1	LikeProc	F63.jpg				10	1	10		RunBlockA2	RunWinLose		9	win
