ExperimentName	Subject	Session	AgeRange	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	GoodBye.FinishTime	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	PleaseRest.ActionDelay	PleaseRest.ActionTime	PleaseRest.CustomOffsetTime	PleaseRest.CustomOnsetTime	PleaseRest.Duration	PleaseRest.FinishTime	PleaseRest.OffsetDelay	PleaseRest.OffsetTime	PleaseRest.OnsetDelay	PleaseRest.OnsetTime	PleaseRest.OnsetToOnsetTime	PleaseRest.PendingInputMasks	PleaseRest.PreRelease	PleaseRest.StartTime	PleaseRest.TargetOffsetTime	PleaseRest.TargetOnsetTime	PleaseRest.TimingMode	Procedure[Block]	RunList	RunList.Cycle	RunList.Sample	Running[Block]	ScannerTrigger.OffsetTime	ScannerTrigger.RESP	ScannerTrigger.RTTime	ScannerTrigger.StartTime	Trial	BlockNumber	Doors.ACC	Doors.CRESP	Doors.DurationError	Doors.OnsetDelay	Doors.OnsetTime	Doors.OnsetToOnsetTime	Doors.RESP	Doors.RT	Doors.RTTime	Fixation1.DurationError	Fixation1.OffsetTime	Fixation1.OnsetDelay	Fixation1.OnsetTime	Fixation1.OnsetToOnsetTime	Fixation2.ACC	Fixation2.ActionDelay	Fixation2.ActionTime	Fixation2.CRESP	Fixation2.CustomOffsetTime	Fixation2.CustomOnsetTime	Fixation2.Duration	Fixation2.DurationError	Fixation2.FinishTime	Fixation2.OffsetDelay	Fixation2.OffsetTime	Fixation2.OnsetDelay	Fixation2.OnsetTime	Fixation2.OnsetToOnsetTime	Fixation2.PendingInputMasks	Fixation2.PreRelease	Fixation2.RESP	Fixation2.RT	Fixation2.RTTime	Fixation2.StartTime	Fixation2.Tag	Fixation2.TargetOffsetTime	Fixation2.TargetOnsetTime	Fixation2.TimingMode	FollowWinLoss	Image	ITI	ITI.Duration	ITI.DurationError	ITI.OffsetTime	ITI.OnsetDelay	ITI.OnsetTime	ITI.OnsetToOnsetTime	Outcome.ACC	Outcome.ActionDelay	Outcome.ActionTime	Outcome.CRESP	Outcome.CustomOffsetTime	Outcome.CustomOnsetTime	Outcome.Duration	Outcome.DurationError	Outcome.FinishTime	Outcome.OffsetDelay	Outcome.OffsetTime	Outcome.OnsetDelay	Outcome.OnsetTime	Outcome.OnsetToOnsetTime	Outcome.PendingInputMasks	Outcome.PreRelease	Outcome.RESP	Outcome.RT	Outcome.RTTime	Outcome.StartTime	Outcome.Tag	Outcome.TargetOffsetTime	Outcome.TargetOnsetTime	Outcome.TimingMode	Procedure[Trial]	RunBlock1	RunBlock1.Cycle	RunBlock1.Sample	RunBlock2	RunBlock2.Cycle	RunBlock2.Sample	RunLoseWin	Running[Trial]	RunWinLose	TrialListPickLoss	TrialListPickWin	TrialType
SPADE_Doors_040318	6003	1	18+	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-04-25T23:17:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410097</Frequency><Timestamp dt:dt="r8">118024403687</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-04-25T23:17:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Doors_040318-6003-1	75.030	1.0.0.268	695065	1	2060943687	Professional	2.0.10.356	2.0.10.356	04-25-2018		19:17:09	2.0.10.252	1	0	385266	0	0	5000	390266	0	390266	12	385266	0	0	0	385156	390266	385254	0	RunLoseWin	1	1	1	RunList	112718	t	112717	100927	1	1																																																																								LoseInstructionProc	1	1	1				RunLoseWin	RunBlock1				
SPADE_Doors_040318	6003	1	18+	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-04-25T23:17:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410097</Frequency><Timestamp dt:dt="r8">118024403687</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-04-25T23:17:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Doors_040318-6003-1	75.030	1.0.0.268	695065	1	2060943687	Professional	2.0.10.356	2.0.10.356	04-25-2018		19:17:09	2.0.10.252	1	0	385266	0	0	5000	390266	0	390266	12	385266	0	0	0	385156	390266	385254	0	RunLoseWin	1	1	1	RunList	112718	t	112717	100927	2	1	1		-11	11	118358	2999		0	0	-12	118247	12	117759	599	0	0	121357		0	0	600	-10	121847	0	121847	10	121357	600	0	100		0	0	121247	fix+	121847	121347	1	blockstart	Line.bmp	3200	3200	-23	126047	23	122970	0	0	0	121957		0	0	1000	-10	122847	0	122847	10	121957	1013	0	100		0	0	121847		122847	121947	1	LoseProc	2	1	2				RunLoseWin	RunBlock1		1		loss
SPADE_Doors_040318	6003	1	18+	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-04-25T23:17:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410097</Frequency><Timestamp dt:dt="r8">118024403687</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-04-25T23:17:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Doors_040318-6003-1	75.030	1.0.0.268	695065	1	2060943687	Professional	2.0.10.356	2.0.10.356	04-25-2018		19:17:09	2.0.10.252	1	0	385266	0	0	5000	390266	0	390266	12	385266	0	0	0	385156	390266	385254	0	RunLoseWin	1	1	1	RunList	112718	t	112717	100927	3	1	1		-8	8	126755	2999		0	0	-8	126647	8	126155	600	0	0	129754		0	0	600	-7	130247	0	130247	7	129754	600	0	100		0	0	129647	fix+	130247	129747	1	winfollowloss	DownArrow.bmp	3200	3200	-20	134447	20	131367	0	0	0	130354		0	0	1000	-7	131247	0	131247	7	130354	1013	0	100		0	0	130247		131247	130347	1	LoseProc	3	1	3				RunLoseWin	RunBlock1		2		win
SPADE_Doors_040318	6003	1	18+	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-04-25T23:17:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410097</Frequency><Timestamp dt:dt="r8">118024403687</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-04-25T23:17:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Doors_040318-6003-1	75.030	1.0.0.268	695065	1	2060943687	Professional	2.0.10.356	2.0.10.356	04-25-2018		19:17:09	2.0.10.252	1	0	385266	0	0	5000	390266	0	390266	12	385266	0	0	0	385156	390266	385254	0	RunLoseWin	1	1	1	RunList	112718	t	112717	100927	4	1	1		-5	5	135152	2999		0	0	-5	135047	5	134552	600	0	0	138151		0	0	600	-4	138647	0	138647	4	138151	599	0	100		0	0	138047	fix+	138647	138147	1	lossfollowwin	Line.bmp	3200	3200	-16	142847	16	139763	0	0	0	138750		0	0	1000	-3	139647	0	139647	3	138750	1013	0	100		0	0	138647		139647	138747	1	LoseProc	4	1	4				RunLoseWin	RunBlock1		3		loss
SPADE_Doors_040318	6003	1	18+	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-04-25T23:17:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410097</Frequency><Timestamp dt:dt="r8">118024403687</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-04-25T23:17:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Doors_040318-6003-1	75.030	1.0.0.268	695065	1	2060943687	Professional	2.0.10.356	2.0.10.356	04-25-2018		19:17:09	2.0.10.252	1	0	385266	0	0	5000	390266	0	390266	12	385266	0	0	0	385156	390266	385254	0	RunLoseWin	1	1	1	RunList	112718	t	112717	100927	5	1	1		-1	1	143548	2999		0	0	-2	143447	2	142949	599	0	0	146547		0	0	600	0	147047	0	147047	0	146547	600	0	100		0	0	146447	fix+	147047	146547	1	lossfollowloss	Line.bmp	5300	5300	-13	153347	13	148160	0	0	0	147147		0	0	1000	0	148047	0	148047	0	147147	1013	0	100		0	0	147047		148047	147147	1	LoseProc	5	1	5				RunLoseWin	RunBlock1		4		loss
SPADE_Doors_040318	6003	1	18+	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-04-25T23:17:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410097</Frequency><Timestamp dt:dt="r8">118024403687</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-04-25T23:17:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Doors_040318-6003-1	75.030	1.0.0.268	695065	1	2060943687	Professional	2.0.10.356	2.0.10.356	04-25-2018		19:17:09	2.0.10.252	1	0	385266	0	0	5000	390266	0	390266	12	385266	0	0	0	385156	390266	385254	0	RunLoseWin	1	1	1	RunList	112718	t	112717	100927	6	1	1		-4	4	154051	2999		0	0	-4	153947	4	153451	600	0	0	157050		0	0	600	-3	157547	0	157547	3	157050	599	0	100		0	0	156947	fix+	157547	157047	1	lossfollowloss	Line.bmp	5300	5300	-2	163847	2	158649	0	0	0	157649		0	0	1000	-2	158547	0	158547	2	157649	1000	0	100		0	0	157547		158547	157647	1	LoseProc	6	1	6				RunLoseWin	RunBlock1		5		loss
SPADE_Doors_040318	6003	1	18+	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-04-25T23:17:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410097</Frequency><Timestamp dt:dt="r8">118024403687</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-04-25T23:17:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Doors_040318-6003-1	75.030	1.0.0.268	695065	1	2060943687	Professional	2.0.10.356	2.0.10.356	04-25-2018		19:17:09	2.0.10.252	1	0	385266	0	0	5000	390266	0	390266	12	385266	0	0	0	385156	390266	385254	0	RunLoseWin	1	1	1	RunList	112718	t	112717	100927	7	1	1		-6	6	164553	2999		0	0	-7	164447	7	163954	599	0	0	167552		0	0	600	-5	168047	0	168047	5	167552	600	0	100		0	0	167447	fix+	168047	167547	1	winfollowloss	DownArrow.bmp	5300	5300	-5	174347	5	169152	0	0	0	168152		0	0	1000	-5	169047	0	169047	5	168152	1000	0	100		0	0	168047		169047	168147	1	LoseProc	7	1	7				RunLoseWin	RunBlock1		6		win
SPADE_Doors_040318	6003	1	18+	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-04-25T23:17:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410097</Frequency><Timestamp dt:dt="r8">118024403687</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-04-25T23:17:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Doors_040318-6003-1	75.030	1.0.0.268	695065	1	2060943687	Professional	2.0.10.356	2.0.10.356	04-25-2018		19:17:09	2.0.10.252	1	0	385266	0	0	5000	390266	0	390266	12	385266	0	0	0	385156	390266	385254	0	RunLoseWin	1	1	1	RunList	112718	t	112717	100927	8	1	1		-9	9	175056	2999		0	0	-9	174947	9	174456	600	0	0	178055		0	0	600	-8	178547	0	178547	8	178055	599	0	100		0	0	177947	fix+	178547	178047	1	winfollowwin	DownArrow.bmp	3200	3200	-7	182747	7	179654	0	0	0	178654		0	0	1000	-7	179547	0	179547	7	178654	1000	0	100		0	0	178547		179547	178647	1	LoseProc	8	1	8				RunLoseWin	RunBlock1		7		win
SPADE_Doors_040318	6003	1	18+	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-04-25T23:17:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410097</Frequency><Timestamp dt:dt="r8">118024403687</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-04-25T23:17:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Doors_040318-6003-1	75.030	1.0.0.268	695065	1	2060943687	Professional	2.0.10.356	2.0.10.356	04-25-2018		19:17:09	2.0.10.252	1	0	385266	0	0	5000	390266	0	390266	12	385266	0	0	0	385156	390266	385254	0	RunLoseWin	1	1	1	RunList	112718	t	112717	100927	9	1	1		-6	6	183453	2998		0	0	-6	183347	6	182853	600	0	0	186451		0	0	600	-4	186947	0	186947	4	186451	600	0	100		0	0	186347	fix+	186947	186447	1	lossfollowwin	Line.bmp	1100	1100	-17	189047	17	188064	0	0	0	187051		0	0	1000	-4	187947	0	187947	4	187051	1013	0	100		0	0	186947		187947	187047	1	LoseProc	9	1	9				RunLoseWin	RunBlock1		8		loss
SPADE_Doors_040318	6003	1	18+	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2018-04-25T23:17:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3410097</Frequency><Timestamp dt:dt="r8">118024403687</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2018-04-25T23:17:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	SPADE_Doors_040318-6003-1	75.030	1.0.0.268	695065	1	2060943687	Professional	2.0.10.356	2.0.10.356	04-25-2018		19:17:09	2.0.10.252	1	0	385266	0	0	5000	390266	0	390266	12	385266	0	0	0	385156	390266	385254	0	RunLoseWin	1	1	1	RunList	112718	t	112717	100927	10	1	1		-10	10	189757	2999		0	0	-10	189647	10	189157	600	0	0	192756		0	0	600	-9	193247	0	193247	9	192756	599	0	100		0	0	192647	fix+	193247	192747	1	winfollowloss	DownArrow.bmp	1100	1100	-8	195347	8	194355	0	0	0	193355		0	0	1000	-8	194247	0	194247	8	193355	1000	0	100		0	0	193247		194247	193347	1	LoseProc	10	1	10				RunLoseWin	RunBlock1		9		win
