onset	trial_type	duration
0.028	Prize_Instruction	5000
5.639	WinGames_Ant	600
9.251	WinGames_FB_Lose	1000
10.251	WinGames_ITI	1100
11.93	WinGames_Ant	600
15.542	WinGames_FB_Win	1000
16.541	WinGames_ITI	1100
20.34	WinGames_Ant	600
23.938	WinGames_FB_Lose	1000
24.951	WinGames_ITI	1100
30.829	WinGames_Ant	600
34.428	WinGames_FB_Lose	1000
35.454	WinGames_ITI	1100
47.636	WinGames_Ant	600
51.234	WinGames_FB_Lose	1000
52.247	WinGames_ITI	1100
58.138	WinGames_Ant	600
61.737	WinGames_FB_Win	1000
62.736	WinGames_ITI	1100
66.535	WinGames_Ant	600
70.133	WinGames_FB_Win	1000
71.133	WinGames_ITI	1100
72.839	WinGames_Ant	600
76.438	WinGames_FB_Lose	1000
77.451	WinGames_ITI	1100
81.236	WinGames_Ant	600
84.834	WinGames_FB_Win	1000
85.847	WinGames_ITI	1100
89.632	WinGames_Ant	600
93.231	WinGames_FB_Win	1000
94.244	WinGames_ITI	1100
95.937	WinGames_Ant	600
99.535	WinGames_FB_Win	1000
100.548	WinGames_ITI	1100
102.241	WinGames_Ant	600
105.839	WinGames_FB_Lose	1000
106.839	WinGames_ITI	1100
108.532	WinGames_Ant	600
112.13	WinGames_FB_Win	1000
113.143	WinGames_ITI	1100
119.034	WinGames_Ant	600
122.633	WinGames_FB_Lose	1000
123.646	WinGames_ITI	1100
129.537	WinGames_Ant	600
133.135	WinGames_FB_Lose	1000
134.135	WinGames_ITI	1100
139.439	Lose_Instruction	5000
145.05	LoseGames_Ant	600
148.649	LoseGames_FB_Lose	1000
149.649	LoseGames_ITI	1100
153.447	LoseGames_Ant	600
157.046	LoseGames_FB_Win	1000
158.059	LoseGames_ITI	1100
161.844	LoseGames_Ant	600
165.442	LoseGames_FB_Lose	1000
166.455	LoseGames_ITI	1100
170.24	LoseGames_Ant	600
173.839	LoseGames_FB_Lose	1000
174.839	LoseGames_ITI	1100
180.743	LoseGames_Ant	600
184.341	LoseGames_FB_Lose	1000
185.354	LoseGames_ITI	1100
191.245	LoseGames_Ant	600
194.844	LoseGames_FB_Win	1000
195.843	LoseGames_ITI	1100
201.748	LoseGames_Ant	600
205.346	LoseGames_FB_Win	1000
206.359	LoseGames_ITI	1100
210.145	LoseGames_Ant	600
213.743	LoseGames_FB_Lose	1000
214.743	LoseGames_ITI	1100
216.449	LoseGames_Ant	600
220.047	LoseGames_FB_Win	1000
221.047	LoseGames_ITI	1100
222.74	LoseGames_Ant	600
226.351	LoseGames_FB_Win	1000
227.364	LoseGames_ITI	1100
233.242	LoseGames_Ant	600
236.841	LoseGames_FB_Win	1000
237.854	LoseGames_ITI	1100
243.745	LoseGames_Ant	600
247.343	LoseGames_FB_Lose	1000
248.343	LoseGames_ITI	1100
252.141	LoseGames_Ant	600
255.74	LoseGames_FB_Win	1000
256.739	LoseGames_ITI	1100
258.445	LoseGames_Ant	600
262.044	LoseGames_FB_Lose	1000
263.043	LoseGames_ITI	1100
266.842	LoseGames_Ant	600
270.441	LoseGames_FB_Lose	1000
271.454	LoseGames_ITI	1100
